"tagname","round","count"
"tomcat","3.846","13"
"design-patterns","3.818","11"
"compiler-construction","3.455","11"
"split","3.455","11"
"exception","3.040","25"
"string","2.783","69"
"security","2.655","29"
"asynchronous","2.593","27"
"random","2.571","14"
"if-statement","2.565","23"
"uiviewcontroller","2.545","11"
"class","2.500","28"
"asp.net-mvc-4","2.471","17"
"asp.net-web-api","2.471","17"
"oop","2.417","24"
"types","2.333","24"
"sed","2.313","16"
"t-sql","2.296","27"
"inheritance","2.286","14"
"react-router","2.273","11"
"bash","2.241","58"
"eclipse","2.232","56"
"regex","2.212","113"
"algorithm","2.192","52"
"pdo","2.182","11"
"header","2.167","12"
"multidimensional-array","2.143","14"
"join","2.133","15"
"awk","2.125","16"
"email","2.100","40"
"shell","2.100","40"
"sql","2.086","244"
"optimization","2.083","12"
"math","2.077","13"
"next.js","2.056","18"
"variables","2.045","22"
"google-maps","2.040","25"
"c","2.019","160"
"http","2.000","24"
"networking","2.000","22"
"visual-studio-code","2.000","16"
"enums","2.000","15"
"lambda","2.000","15"
"foreach","2.000","12"
"parameters","2.000","12"
"memory-management","2.000","11"
".net","1.978","137"
"for-loop","1.967","30"
"database","1.966","88"
"linq","1.964","28"
"arrays","1.935","169"
"iphone","1.935","92"
"reporting-services","1.923","13"
"replace","1.917","12"
"sorting","1.912","34"
"directory","1.909","11"
"xampp","1.909","11"
"css","1.899","336"
"sql-server","1.893","131"
"generics","1.889","27"
"wcf","1.889","18"
"c++","1.885","339"
"perl","1.880","25"
"list","1.868","68"
"internet-explorer","1.867","15"
"haskell","1.864","22"
"file","1.857","35"
"gcc","1.857","14"
"junit","1.857","14"
"struct","1.850","20"
"templates","1.846","26"
"c#","1.842","670"
"multithreading","1.842","57"
"jquery-ui","1.842","19"
"hash","1.833","12"
"performance","1.825","40"
"visual-studio-2015","1.818","11"
"filter","1.813","16"
"npm","1.800","25"
"ipad","1.800","15"
"c++11","1.786","28"
"xcode","1.782","78"
"oracle","1.774","53"
"codeigniter","1.771","35"
"encryption","1.769","13"
"java","1.767","778"
"json","1.766","137"
"html","1.750","503"
"jquery","1.748","413"
"ruby","1.748","115"
"google-chrome","1.737","19"
"function","1.735","49"
"mysql","1.732","250"
"android-jetpack-compose","1.727","11"
"outlook","1.727","11"
"redirect","1.722","18"
"loops","1.714","35"
"async-await","1.714","14"
"visual-studio","1.707","41"
"date","1.706","34"
"drop-down-menu","1.706","17"
"go","1.703","37"
"pointers","1.700","20"
"php","1.698","630"
"asp.net","1.693","150"
"jdbc","1.692","13"
"javascript","1.684","1062"
