QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,8.796,116.194,37
Q1,0.756,98.373,37
Q1,0.781,94.627,37
Q1,0.932,93.658,37
Q1,0.849,93.53,37
Q1,0.796,92.944,37
Q1,0.869,92.934,37
Q1,0.731,94.254,37
Q1,0.746,98.204,37
Q1,0.753,92.8,37
Q1,0.716,93.32,37
Q1,0.879,95.553,37
Q1,0.791,94.509,37
Q1,0.865,93.858,37
Q1,0.742,93.386,37
Q1,0.744,96.007,37
Q1,0.775,94.88,37
Q1,0.764,93.278,37
Q1,0.749,93.77,37
Q1,0.762,95.472,37
Q1,0.74,92.625,37
Q1,0.711,95.472,37
Q1,0.772,92.579,37
Q1,0.74,94.817,37
Q1,0.741,93.562,37
Q1,0.75,92.931,37
Q1,0.851,92.864,37
Q1,0.733,92.866,37
Q1,0.7,94.2,37
Q1,0.814,97.244,37
Q1_V1,0.513,58.274,46
Q1_V1,0.457,57.792,46
Q1_V1,0.461,57.773,46
Q1_V1,0.476,60.261,46
Q1_V1,0.508,58.874,46
Q1_V1,0.466,58.008,46
Q1_V1,0.467,59.278,46
Q1_V1,0.48,57.852,46
Q1_V1,0.487,58.223,46
Q1_V1,0.478,57.77,46
Q1_V1,0.499,57.426,46
Q1_V1,0.483,58.53,46
Q1_V1,0.732,59.959,46
Q1_V1,0.491,57.645,46
Q1_V1,0.449,58.83,46
Q1_V1,0.49,58.389,46
Q1_V1,0.522,67.232,46
Q1_V1,0.594,58.056,46
Q1_V1,0.477,57.409,46
Q1_V1,0.571,59.183,46
Q1_V1,0.515,63.657,46
Q1_V1,0.611,62.312,46
Q1_V1,0.485,58.891,46
Q1_V1,0.491,59.116,46
Q1_V1,0.584,59.523,46
Q1_V1,0.503,57.774,46
Q1_V1,0.452,57.642,46
Q1_V1,0.452,57.421,46
Q1_V1,0.473,62.175,46
Q1_V1,0.561,59.858,46
Q1_V2,0.42,102.445,42
Q1_V2,0.426,88.112,42
Q1_V2,0.431,82.362,42
Q1_V2,0.459,80.493,42
Q1_V2,0.462,82.482,42
Q1_V2,0.527,80.26,42
Q1_V2,0.448,79.14,42
Q1_V2,0.5,78.585,42
Q1_V2,0.428,89.62,42
Q1_V2,0.485,86.981,42
Q1_V2,0.486,87.086,42
Q1_V2,0.496,82.49,42
Q1_V2,0.51,84.716,42
Q1_V2,0.529,81.573,42
Q1_V2,0.498,79.66,42
Q1_V2,0.486,84.846,42
Q1_V2,0.513,92.204,42
Q1_V2,0.547,91.229,42
Q1_V2,0.577,90.459,42
Q1_V2,0.598,80.627,42
Q1_V2,0.444,78.617,42
Q1_V2,0.472,81.006,42
Q1_V2,0.428,113.17,42
Q1_V2,0.5,90.475,42
Q1_V2,0.426,84.806,42
Q1_V2,0.427,86.836,42
Q1_V2,0.487,83.311,42
Q1_V2,0.45,82.838,42
Q1_V2,0.427,85.267,42
Q1_V2,0.426,82.188,42
