QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,15.242,133.616,37
Q1,1.319,96.317,37
Q1,1.131,107.599,37
Q1,1.518,106.025,37
Q1,1.333,113.663,37
Q1,1.608,104.33,37
Q1,1.217,114.014,37
Q1,1.324,115.413,37
Q1,1.224,111.5,37
Q1,1.395,120.786,37
Q1,1.272,102.762,37
Q1,1.168,108.302,37
Q1,1.235,102.167,37
Q1,1.984,104.445,37
Q1,1.234,98.399,37
Q1,1.219,111.686,37
Q1,1.263,93.676,37
Q1,1.805,96.383,37
Q1,1.106,92.812,37
Q1,1.135,94.803,37
Q1,1.094,96.935,37
Q1,1.136,101.402,37
Q1,1.287,94.016,37
Q1,1.089,97.097,37
Q1,1.325,94.483,37
Q1,1.179,96.354,37
Q1,1.648,96.517,37
Q1,1.247,94.976,37
Q1,1.074,95.948,37
Q1,1.11,97.066,37
Q1_V1,0.637,76.095,46
Q1_V1,0.54,65.856,46
Q1_V1,0.571,61.179,46
Q1_V1,0.616,58.877,46
Q1_V1,0.654,59.38,46
Q1_V1,0.669,59.217,46
Q1_V1,0.692,73.358,46
Q1_V1,0.593,59.561,46
Q1_V1,0.767,60.664,46
Q1_V1,0.699,59.451,46
Q1_V1,0.643,65.302,46
Q1_V1,0.592,66.359,46
Q1_V1,0.539,66.046,46
Q1_V1,0.657,65.785,46
Q1_V1,0.745,63.845,46
Q1_V1,0.755,60.679,46
Q1_V1,0.656,60.494,46
Q1_V1,0.527,57.225,46
Q1_V1,0.587,59.262,46
Q1_V1,0.598,61.569,46
Q1_V1,0.519,59.899,46
Q1_V1,0.52,59.314,46
Q1_V1,0.532,63.162,46
Q1_V1,0.792,68.081,46
Q1_V1,0.577,65.008,46
Q1_V1,0.633,64.813,46
Q1_V1,0.54,69.939,46
Q1_V1,0.801,61.271,46
Q1_V1,0.562,61.801,46
Q1_V1,0.546,59.698,46
Q1_V2,0.476,110.66,42
Q1_V2,0.472,91.395,42
Q1_V2,0.476,86.315,42
Q1_V2,0.478,84.354,42
Q1_V2,0.575,85.941,42
Q1_V2,0.473,84.848,42
Q1_V2,0.495,84.818,42
Q1_V2,0.491,96.302,42
Q1_V2,0.51,93.959,42
Q1_V2,0.511,84.148,42
Q1_V2,0.59,86.271,42
Q1_V2,0.58,83.134,42
Q1_V2,0.656,83.46,42
Q1_V2,0.559,82.217,42
Q1_V2,0.521,94.333,42
Q1_V2,0.559,93.022,42
Q1_V2,0.606,82.676,42
Q1_V2,0.589,85.599,42
Q1_V2,0.55,83.284,42
Q1_V2,0.617,86.927,42
Q1_V2,0.565,83.606,42
Q1_V2,0.51,84.901,42
Q1_V2,0.581,108.245,42
Q1_V2,0.581,82.538,42
Q1_V2,0.496,86.361,42
Q1_V2,0.553,83.378,42
Q1_V2,0.518,84.061,42
Q1_V2,0.577,83.591,42
Q1_V2,0.559,81.866,42
Q1_V2,0.543,98.347,42
