QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,3.445,71.063,37
Q1,0.42,41.513,37
Q1,0.32,40.437,37
Q1,0.327,40.496,37
Q1,0.324,40.569,37
Q1,0.313,40.884,37
Q1,0.35,41.727,37
Q1,0.342,40.995,37
Q1,0.524,40.98,37
Q1,0.324,41.197,37
Q1,0.336,41.133,37
Q1,0.318,40.615,37
Q1,0.311,40.469,37
Q1,0.309,40.332,37
Q1,0.307,40.353,37
Q1,0.339,41.506,37
Q1,0.328,40.537,37
Q1,0.301,40.361,37
Q1,0.302,40.62,37
Q1,0.323,40.503,37
Q1,0.388,40.581,37
Q1,0.318,40.447,37
Q1,0.338,40.985,37
Q1,0.319,41.413,37
Q1,0.335,40.452,37
Q1,0.303,40.326,37
Q1,0.332,41.982,37
Q1,0.31,40.491,37
Q1,0.311,40.218,37
Q1,0.295,40.034,37
Q1_V1,0.217,29.837,46
Q1_V1,0.195,24.971,46
Q1_V1,0.194,24.988,46
Q1_V1,0.178,24.721,46
Q1_V1,0.184,24.89,46
Q1_V1,0.185,25.297,46
Q1_V1,0.244,26.518,46
Q1_V1,0.193,26.543,46
Q1_V1,0.214,26.213,46
Q1_V1,0.181,25.725,46
Q1_V1,0.18,25.609,46
Q1_V1,0.18,25.234,46
Q1_V1,0.177,25.472,46
Q1_V1,0.198,25.486,46
Q1_V1,0.184,25.451,46
Q1_V1,0.18,25.08,46
Q1_V1,0.176,24.845,46
Q1_V1,0.226,24.764,46
Q1_V1,0.179,24.898,46
Q1_V1,0.179,24.478,46
Q1_V1,0.178,24.707,46
Q1_V1,0.181,24.883,46
Q1_V1,0.189,24.862,46
Q1_V1,0.181,24.926,46
Q1_V1,0.176,24.837,46
Q1_V1,0.197,25.238,46
Q1_V1,0.182,25.757,46
Q1_V1,0.207,26.364,46
Q1_V1,0.28,26.791,46
Q1_V1,0.191,26.24,46
Q1_V2,0.292,40.51,42
Q1_V2,0.231,32.224,42
Q1_V2,0.23,33.146,42
Q1_V2,0.217,32.875,42
Q1_V2,0.212,32.579,42
Q1_V2,0.214,32.374,42
Q1_V2,0.213,33.501,42
Q1_V2,0.22,32.684,42
Q1_V2,0.213,33.955,42
Q1_V2,0.214,32.287,42
Q1_V2,0.223,34.794,42
Q1_V2,0.251,32.935,42
Q1_V2,0.216,32.538,42
Q1_V2,0.213,31.892,42
Q1_V2,0.214,31.957,42
Q1_V2,0.224,32.143,42
Q1_V2,0.228,32.192,42
Q1_V2,0.215,135.898,42
Q1_V2,0.244,32.984,42
Q1_V2,0.21,32.01,42
Q1_V2,0.213,137.752,42
Q1_V2,0.264,35.517,42
Q1_V2,0.219,32.84,42
Q1_V2,0.227,32.744,42
Q1_V2,0.245,32.052,42
Q1_V2,0.248,31.506,42
Q1_V2,0.209,32.457,42
Q1_V2,0.212,33.033,42
Q1_V2,0.223,32.729,42
Q1_V2,0.223,32.573,42
