QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,3.178,82.496,37
Q1,0.353,41.586,37
Q1,0.522,40.735,37
Q1,0.295,40.768,37
Q1,0.343,41.816,37
Q1,0.337,40.905,37
Q1,0.31,40.639,37
Q1,0.502,40.724,37
Q1,0.316,40.69,37
Q1,0.4,41.327,37
Q1,0.327,40.788,37
Q1,0.325,40.687,37
Q1,0.32,40.643,37
Q1,0.329,40.663,37
Q1,0.289,40.386,37
Q1,0.283,40.289,37
Q1,0.297,40.409,37
Q1,0.29,40.384,37
Q1,0.294,40.276,37
Q1,0.289,40.195,37
Q1,0.282,40.171,37
Q1,0.302,40.979,37
Q1,0.382,40.934,37
Q1,0.311,40.922,37
Q1,0.32,41.414,37
Q1,0.337,41.335,37
Q1,0.347,41.607,37
Q1,0.37,41.917,37
Q1,0.396,43.529,37
Q1,0.344,41.973,37
Q1_V1,0.292,26.965,46
Q1_V1,0.28,28.224,46
Q1_V1,0.241,26.715,46
Q1_V1,0.229,26.834,46
Q1_V1,0.378,27.023,46
Q1_V1,0.222,26.919,46
Q1_V1,0.232,26.871,46
Q1_V1,0.237,26.661,46
Q1_V1,0.231,26.682,46
Q1_V1,0.219,26.827,46
Q1_V1,0.356,27.002,46
Q1_V1,0.238,26.624,46
Q1_V1,0.347,27.109,46
Q1_V1,0.22,26.796,46
Q1_V1,0.221,26.689,46
Q1_V1,0.223,26.443,46
Q1_V1,0.251,26.527,46
Q1_V1,0.221,26.366,46
Q1_V1,0.226,26.419,46
Q1_V1,0.228,26.445,46
Q1_V1,0.35,26.655,46
Q1_V1,0.213,26.281,46
Q1_V1,0.199,26.161,46
Q1_V1,0.197,26.053,46
Q1_V1,0.206,26.346,46
Q1_V1,0.203,25.935,46
Q1_V1,0.215,26.245,46
Q1_V1,0.207,26.594,46
Q1_V1,0.383,26.857,46
Q1_V1,0.279,26.417,46
Q1_V2,0.231,33.89,42
Q1_V2,0.215,33.638,42
Q1_V2,0.247,33.72,42
Q1_V2,0.215,34.112,42
Q1_V2,0.235,32.178,42
Q1_V2,0.219,32.809,42
Q1_V2,0.213,33.044,42
Q1_V2,0.259,32.84,42
Q1_V2,0.214,32.601,42
Q1_V2,0.222,33.201,42
Q1_V2,0.218,33.948,42
Q1_V2,0.21,33.188,42
Q1_V2,0.246,33.049,42
Q1_V2,0.221,32.673,42
Q1_V2,0.213,33.175,42
Q1_V2,0.222,33.745,42
Q1_V2,0.215,32.787,42
Q1_V2,0.211,34.619,42
Q1_V2,0.26,34.669,42
Q1_V2,0.216,34.887,42
Q1_V2,0.219,36.875,42
Q1_V2,0.227,35.986,42
Q1_V2,0.214,34.694,42
Q1_V2,0.248,33.223,42
Q1_V2,0.223,34.481,42
Q1_V2,0.217,33.87,42
Q1_V2,0.22,36.009,42
Q1_V2,0.243,37.415,42
Q1_V2,0.292,33.352,42
Q1_V2,0.214,34.728,42
