QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,12.006,114.645,37
Q1,1.007,96.893,37
Q1,1.041,96.872,37
Q1,0.991,98.666,37
Q1,0.955,98.867,37
Q1,0.985,100.944,37
Q1,1.081,97.057,37
Q1,0.957,101.613,37
Q1,0.92,96.252,37
Q1,0.917,96.867,37
Q1,0.902,95.27,37
Q1,0.891,100.98,37
Q1,0.969,114.656,37
Q1,1.001,108.348,37
Q1,1.079,108.332,37
Q1,0.991,98.849,37
Q1,1.019,107.011,37
Q1,1.059,103.652,37
Q1,0.979,96.673,37
Q1,0.909,95.775,37
Q1,0.874,95.099,37
Q1,0.837,92.505,37
Q1,0.874,92.549,37
Q1,0.869,92.604,37
Q1,0.93,91.735,37
Q1,0.868,93.176,37
Q1,0.942,101.278,37
Q1,1.195,107.796,37
Q1,1.141,108.014,37
Q1,1.063,96.623,37
Q1_V1,0.513,61.802,46
Q1_V1,0.511,61.567,46
Q1_V1,0.512,58.245,46
Q1_V1,0.514,57.84,46
Q1_V1,0.485,58.809,46
Q1_V1,0.491,57.914,46
Q1_V1,0.518,57.488,46
Q1_V1,0.47,58.217,46
Q1_V1,0.538,58.825,46
Q1_V1,0.495,57.924,46
Q1_V1,0.469,57.146,46
Q1_V1,0.481,60.417,46
Q1_V1,0.795,61.089,46
Q1_V1,0.529,57.864,46
Q1_V1,0.503,58.065,46
Q1_V1,0.597,57.412,46
Q1_V1,0.486,57.944,46
Q1_V1,0.505,56.6,46
Q1_V1,0.537,57.402,46
Q1_V1,0.493,57.885,46
Q1_V1,0.557,56.694,46
Q1_V1,0.486,58.337,46
Q1_V1,0.515,58.212,46
Q1_V1,0.471,57.637,46
Q1_V1,0.471,68.472,46
Q1_V1,0.586,59.259,46
Q1_V1,0.553,60.158,46
Q1_V1,0.666,61.129,46
Q1_V1,0.507,63.578,46
Q1_V1,0.738,66.198,46
Q1_V2,0.494,120.608,42
Q1_V2,0.535,94.059,42
Q1_V2,0.474,93.987,42
Q1_V2,0.446,91.134,42
Q1_V2,0.549,88.428,42
Q1_V2,0.523,85.084,42
Q1_V2,0.519,82.263,42
Q1_V2,0.521,81.476,42
Q1_V2,0.53,125.383,42
Q1_V2,0.504,109.645,42
Q1_V2,0.501,89.21,42
Q1_V2,0.445,83.145,42
Q1_V2,0.444,83.154,42
Q1_V2,0.479,83.103,42
Q1_V2,0.445,84.938,42
Q1_V2,0.523,102.064,42
Q1_V2,0.478,95.614,42
Q1_V2,0.467,87.738,42
Q1_V2,0.657,88.469,42
Q1_V2,0.479,84.723,42
Q1_V2,0.465,80.614,42
Q1_V2,0.449,85.209,42
Q1_V2,0.535,98.425,42
Q1_V2,0.45,92.017,42
Q1_V2,0.468,87.44,42
Q1_V2,0.527,81.826,42
Q1_V2,0.53,80.268,42
Q1_V2,0.53,80.384,42
Q1_V2,0.558,80.058,42
Q1_V2,0.454,117.859,42
