QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,9.279,14236.631,47
Q1,0.563,14300.562,47
Q1,0.522,15021.655,47
Q1,0.527,14192.421,47
Q1,0.582,14527.058,47
Q1,0.884,14443.242,47
Q1,0.586,13991.503,47
Q1,0.543,13940.146,47
Q1,0.523,13883.488,47
Q1,0.522,13833.548,47
Q1_V1,0.257,12240.563,61
Q1_V1,0.248,12178.386,61
Q1_V1,0.292,12327.675,61
Q1_V1,0.299,12182.536,61
Q1_V1,0.314,12157.321,61
Q1_V1,0.304,12235.731,61
Q1_V1,0.324,12073.635,61
Q1_V1,0.292,12420.998,61
Q1_V1,0.306,12181.511,61
Q1_V1,0.35,12235.631,61
Q1_V2,0.7,12132.246,54
Q1_V2,0.262,12084.315,54
Q1_V2,0.256,12062.5,54
Q1_V2,0.259,11837.144,54
Q1_V2,0.259,11802.044,54
Q1_V2,0.324,11771.1,54
Q1_V2,0.254,11916.553,54
Q1_V2,0.252,11880.028,54
Q1_V2,0.261,12013.536,54
Q1_V2,0.264,11767.692,54
