QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,39.06,8203.737,35
Q1,1.308,8658.159,35
Q1,1.298,8683.184,35
Q1,2.173,7717.437,35
Q1,1.393,7857.922,35
Q1,1.274,8023.687,35
Q1,1.208,8634.236,35
Q1,1.296,7883.931,35
Q1,1.3,7640.873,35
Q1,1.285,7754.643,35
Q1_V1,0.997,1292.113,54
Q1_V1,0.748,1198.684,54
Q1_V1,0.722,1198.549,54
Q1_V1,0.73,1163.869,54
Q1_V1,1.248,1250.145,54
Q1_V1,1.016,1396.71,54
Q1_V1,0.885,1297.669,54
Q1_V1,0.75,1311.839,54
Q1_V1,0.821,1193.227,54
Q1_V1,0.786,1188.508,54
Q1_V2,0.917,3391.176,38
Q1_V2,0.902,3527.295,38
Q1_V2,0.99,3530.667,38
Q1_V2,0.938,3762.044,38
Q1_V2,1.017,3646.83,38
Q1_V2,0.968,4540.821,38
Q1_V2,1.662,4510.097,38
Q1_V2,1.358,3703.285,38
Q1_V2,0.927,3573.799,38
Q1_V2,0.964,3567.889,38
