QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,35.331,7772.457,35
Q1,2.336,8888.067,35
Q1,2.747,8912.527,35
Q1,1.926,7997.804,35
Q1,1.91,8037.676,35
Q1,2.122,8707.634,35
Q1,2.288,7985.482,35
Q1,1.881,7882.709,35
Q1,1.991,9308.135,35
Q1,2.349,7898.138,35
Q1_V1,1.032,1298.307,54
Q1_V1,0.937,1207.883,54
Q1_V1,0.819,1145.605,54
Q1_V1,0.996,1170.429,54
Q1_V1,0.925,1172.201,54
Q1_V1,0.942,1192.721,54
Q1_V1,0.797,1174.144,54
Q1_V1,0.784,1187.892,54
Q1_V1,0.831,1159.778,54
Q1_V1,0.832,1209.736,54
Q1_V2,1.658,3539.964,38
Q1_V2,1.125,3696.299,38
Q1_V2,1.067,3639.414,38
Q1_V2,0.949,4226.895,38
Q1_V2,1.056,4018.376,38
Q1_V2,1.026,3981.274,38
Q1_V2,1.061,3620.042,38
Q1_V2,0.988,3626.269,38
Q1_V2,0.982,3821.399,38
Q1_V2,0.983,4722.049,38
Q1_V3,1.25,1455.539,54
Q1_V3,0.856,1177.774,54
Q1_V3,0.896,1242.027,54
Q1_V3,0.819,1194.545,54
Q1_V3,0.911,1152.041,54
Q1_V3,0.815,1183.905,54
Q1_V3,0.919,1200.806,54
Q1_V3,0.908,1251.655,54
Q1_V3,0.884,1189.639,54
Q1_V3,0.81,1200.24,54
