QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,37.402,9614.843,35
Q1,1.807,8304.195,35
Q1,1.702,8434.035,35
Q1,1.834,7430.529,35
Q1,1.863,7384.407,35
Q1,1.66,7523.517,35
Q1,1.634,7541.555,35
Q1,1.703,7566.7,35
Q1,1.636,8634.269,35
Q1,1.792,7620.533,35
Q1_V1,1.151,1275.091,54
Q1_V1,0.788,1178.235,54
Q1_V1,0.905,1160.326,54
Q1_V1,0.787,1160.965,54
Q1_V1,0.771,1123.308,54
Q1_V1,0.844,1150.38,54
Q1_V1,0.796,1270.044,54
Q1_V1,0.889,1198.273,54
Q1_V1,0.831,1135.289,54
Q1_V1,0.926,1205.662,54
Q1_V2,0.949,3408.892,38
Q1_V2,0.783,3437.754,38
Q1_V2,0.78,3298.791,38
Q1_V2,0.715,3417.285,38
Q1_V2,0.754,3611.87,38
Q1_V2,0.846,3504.976,38
Q1_V2,0.786,3549.605,38
Q1_V2,0.74,3549.167,38
Q1_V2,1.2,3527.712,38
Q1_V2,0.784,3602.696,38
