QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,25.209,8843.465,35
Q1,1.559,6833.287,35
Q1,1.663,6640.886,35
Q1,1.527,7229.228,35
Q1,1.442,6542.304,35
Q1,1.392,6633.745,35
Q1,1.37,6589.159,35
Q1,1.592,6750.87,35
Q1,1.518,6546.441,35
Q1,1.492,7325.406,35
Q1_V1,1.054,1239.514,54
Q1_V1,0.788,1211.782,54
Q1_V1,0.869,1325.216,54
Q1_V1,0.904,1237.166,54
Q1_V1,0.924,1092.844,54
Q1_V1,0.815,1149.562,54
Q1_V1,0.889,1182.215,54
Q1_V1,0.944,1098.239,54
Q1_V1,0.768,1165.12,54
Q1_V1,0.88,1134.686,54
Q1_V2,2.795,4066.037,42
Q1_V2,1.087,3961.569,42
Q1_V2,0.929,4226.54,42
Q1_V2,0.923,3857.055,42
Q1_V2,1.013,3636.5,42
Q1_V2,0.746,4169.083,42
Q1_V2,1.069,3741.466,42
Q1_V2,0.852,3644.307,42
Q1_V2,0.882,3645.081,42
Q1_V2,0.744,3688.79,42
