QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,42.055,8381.314,35
Q1,1.833,8176.505,35
Q1,1.99,7383.73,35
Q1,2.072,8367.233,35
Q1,5.729,7328.589,35
Q1,1.91,7353.132,35
Q1,1.986,7293.092,35
Q1,1.908,7333.99,35
Q1,1.961,8979.09,35
Q1,2.004,7920.494,35
Q1_V1,0.997,1301.008,54
Q1_V1,0.793,1220.201,54
Q1_V1,1.197,1195.149,54
Q1_V1,0.802,1224.668,54
Q1_V1,0.793,1198.178,54
Q1_V1,0.851,1263.861,54
Q1_V1,0.771,1225.97,54
Q1_V1,0.903,1162.045,54
Q1_V1,0.947,1128.955,54
Q1_V1,0.795,1273.131,54
Q1_V2,0.914,3503.581,38
Q1_V2,1.168,3726.545,38
Q1_V2,1.004,3560.551,38
Q1_V2,0.973,3561.672,38
Q1_V2,1.096,3535.113,38
Q1_V2,0.978,3578.258,38
Q1_V2,1.171,3608.483,38
Q1_V2,1.009,3622.871,38
Q1_V2,1.011,3534.971,38
Q1_V2,0.935,3620.873,38
