QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q1,40.286,8427.452,35
Q1,1.903,7730.294,35
Q1,1.913,7913.636,35
Q1,1.893,7706.43,35
Q1,1.879,7680.486,35
Q1,1.844,7547.043,35
Q1,1.98,7374.229,35
Q1,2.112,7432.776,35
Q1,2.419,7440.898,35
Q1,1.845,7339.416,35
Q1_V1,1.008,1246.11,54
Q1_V1,0.892,1247.662,54
Q1_V1,1.107,1331.547,54
Q1_V1,1.145,1159.97,54
Q1_V1,0.791,1279.739,54
Q1_V1,0.857,1204.29,54
Q1_V1,0.863,1164.013,54
Q1_V1,0.772,1374.416,54
Q1_V1,1.153,1343.656,54
Q1_V1,1.201,1344.237,54
Q1_V2,1.021,3854.922,38
Q1_V2,1.02,3633.373,38
Q1_V2,1.435,3559.863,38
Q1_V2,0.97,3576.512,38
Q1_V2,1.411,3655.004,38
Q1_V2,0.984,3553.954,38
Q1_V2,1.296,3529.013,38
Q1_V2,0.964,3611.976,38
Q1_V2,1.399,3551.151,38
Q1_V2,1.564,3526.234,38
