QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q2,9.105,9603.248,46
Q2,0.789,9376.172,46
Q2,0.801,9225.303,46
Q2,0.846,9305.628,46
Q2,0.804,9343.0,46
Q2,0.818,9420.799,46
Q2,0.823,9503.394,46
Q2,0.817,9948.048,46
Q2,0.778,9545.357,46
Q2,0.782,9447.303,46
Q2_V1,0.804,3313.442,49
Q2_V1,0.696,3336.885,49
Q2_V1,0.832,3335.105,49
Q2_V1,0.682,3326.078,49
Q2_V1,0.861,3331.318,49
Q2_V1,0.776,3363.548,49
Q2_V1,0.876,3328.21,49
Q2_V1,0.821,3367.255,49
Q2_V1,0.684,3379.367,49
Q2_V1,0.836,3361.169,49
Q2_V2,0.814,2018.719,64
Q2_V2,0.733,2017.877,64
Q2_V2,0.857,2024.613,64
Q2_V2,0.706,2032.04,64
Q2_V2,0.865,2099.562,64
Q2_V2,0.876,2160.668,64
Q2_V2,0.818,2087.663,64
Q2_V2,0.723,2050.421,64
Q2_V2,0.72,2030.361,64
Q2_V2,0.804,2047.492,64
Q2_V3,1.287,1607.707,57
Q2_V3,0.465,1586.4,57
Q2_V3,0.582,1582.177,57
Q2_V3,0.467,1598.39,57
Q2_V3,0.398,1631.93,57
Q2_V3,0.4,1590.649,57
Q2_V3,0.462,1595.751,57
Q2_V3,0.398,1583.168,57
Q2_V3,0.4,1583.877,57
Q2_V3,0.394,1608.344,57
