QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q2,6.66,9543.893,46
Q2,0.604,7571.767,46
Q2,0.562,7231.322,46
Q2,0.543,7156.413,46
Q2,0.61,7183.437,46
Q2,0.774,7436.452,46
Q2,0.66,7398.874,46
Q2,0.561,7189.84,46
Q2,0.589,7157.336,46
Q2,0.592,7139.619,46
Q2_V1,6.589,3433.421,48
Q2_V1,0.599,3457.363,48
Q2_V1,0.594,3455.926,48
Q2_V1,0.587,3483.632,48
Q2_V1,0.659,3479.542,48
Q2_V1,0.654,3436.162,48
Q2_V1,0.593,3468.076,48
Q2_V1,0.573,3458.617,48
Q2_V1,0.599,3484.847,48
Q2_V1,0.593,3477.773,48
Q2_V2,0.737,2348.231,58
Q2_V2,0.63,2273.303,58
Q2_V2,0.698,2208.279,58
Q2_V2,0.633,2167.34,58
Q2_V2,0.621,2171.835,58
Q2_V2,0.646,2200.51,58
Q2_V2,0.625,2231.257,58
Q2_V2,0.576,2185.392,58
Q2_V2,0.616,2164.202,58
Q2_V2,0.616,2169.342,58
Q2_V3,1.659,1782.598,51
Q2_V3,0.483,1793.228,51
Q2_V3,0.493,1802.925,51
Q2_V3,0.488,1792.193,51
Q2_V3,0.496,1800.393,51
Q2_V3,0.489,1772.38,51
Q2_V3,0.493,1783.807,51
Q2_V3,0.494,1782.371,51
Q2_V3,0.492,1789.29,51
Q2_V3,0.488,1797.295,51
