QUERY,PLANNING_TIME,EXECUTION_TIME,ROWS
Q2,21.744,8817.212,46
Q2,0.539,6941.685,46
Q2,0.566,6932.116,46
Q2,0.576,6771.759,46
Q2,0.558,6803.295,46
Q2,0.64,6821.678,46
Q2,0.541,7113.383,46
Q2,0.514,7073.949,46
Q2,0.585,6850.066,46
Q2,0.623,6874.677,46
Q2_V1,0.526,3123.002,48
Q2_V1,0.632,3122.273,48
Q2_V1,0.519,3132.878,48
Q2_V1,0.588,3184.525,48
Q2_V1,0.638,3137.428,48
Q2_V1,0.582,3153.671,48
Q2_V1,0.612,3216.752,48
Q2_V1,0.598,3159.338,48
Q2_V1,0.566,3152.216,48
Q2_V1,0.582,3162.261,48
Q2_V2,0.687,1830.826,58
Q2_V2,0.619,1806.794,58
Q2_V2,0.596,1826.831,58
Q2_V2,0.648,1833.615,58
Q2_V2,0.63,1820.383,58
Q2_V2,0.626,1895.803,58
Q2_V2,0.704,1948.129,58
Q2_V2,0.542,1946.617,58
Q2_V2,0.667,1887.597,58
Q2_V2,0.611,1857.582,58
Q2_V3,1.325,1568.153,51
Q2_V3,0.523,1532.501,51
Q2_V3,0.518,1543.917,51
Q2_V3,0.563,1546.882,51
Q2_V3,0.497,1533.289,51
Q2_V3,0.453,1587.31,51
Q2_V3,0.515,1543.337,51
Q2_V3,0.503,1555.869,51
Q2_V3,0.468,1531.389,51
Q2_V3,0.508,1545.615,51
